From	To
O95989	NUDT3
O95996	APC2
O95999	BCL10
O96000	NDUFB10
O96005	CLPTM1
O96008	TOMM40
O96011	PEX11B
O96013	PAK4
O96018	APBA3
O96019	ACTL6A
O96033	MOCS2
P00338	LDHA
P00352	ALDH1A1
P00367	GLUD1
P00387	CYB5R3
P00390	GSR
P00403	MT-CO2
P00441	SOD1
P00450	CP
P00488	F13A1
P00491	PNP
P00492	HPRT1
P00505	GOT2
P00519	ABL1
P00558	PGK1
P00734	F2
P00740	F9
P00747	PLG
P00748	F12
P00813	ADA
P00915	CA1
P00918	CA2
P01008	SERPINC1
P01009	SERPINA1
P01011	SERPINA3
P01019	AGT
P01023	A2M
P01024	C3
P01031	C5
P01033	TIMP1
P01034	CST3
P01040	CSTA
P01042	KNG1
P01112	HRAS
P01116	KRAS
P01127	PDGFB
P01133	EGF
P01137	TGFB1
P01344	IGF2
P01591	JCHAIN
P01602	IGKV1-5
P01614	IGKV2D-40
P01619	IGKV3-20
P01700	IGLV1-47
